,Name,Style,ABV,IBU,Rating,Description
0,La Vella Caravana / Black Bitch Caravan of Bitches,Witbier,5.2,29.0,,"Caravan of Bitches
Hoppy Wheat Ale
Estilo tradicional elaborado con malta pilsner, trigo y avena. Este estilo se caracteriza por las adiciones de cascara de naranja amarga y semillas de cilantro."
1,BlackLab Sour Lady,Berliner Weisse,5.0,,,"Sour Lady
Berliner Weisse with fruit
Una cerveza ácida con frambuesas.
---------------
Sour beer with raspberries"
2,Blacklab Claudia Passion,American IPA,,,,"Claudia Passion
Fruit IPA
Nuestra mejor cerveza con Maracuyá
--------------
Our best IPA with passion fruit"
3,BlackLab More Sparkle,Brut IPA,7.0,,,"More Sparkle
Brut IPA
Dry and aromatic. Low bitterness.
-----------
Muy seca y aromática. Poco amargor."
4,Greyhound Brewers Give ’em Hops,Imperial IPA,8.0,,,"Give ’em Hops
Doble NEIPA"
5,Greyhound Brewers Slave of New Hops,American IPA,6.7,50.0,3.76,"Slave of New Hops
IPA"
6,Greyhound Brewers Born Of The Hops,American IPA,,,,"Born Of The Hops
West Coast IPA
Born Of The Hops, una West Coast IPA amarga, herbal, resinosa, como las de antes... Simcoe, Cascade y Columbus para saciar tu dependencia al lúpulo!"
7,Engorile King Hop,Imperial IPA,8.5,204.0,3.82,"King Hop
Imperial IPA
King Hop es una cerveza de cuerpo, mucho cuerpo, cómo marca el estilo. Color anaranjado, extremadamente turbia. En nariz es potente, predominante el aroma tropical gracias a su triple Dry Hop de 20,5 gramos/litro y a la combinación de lúpulos de los cuales predomina el  ..."
8,Castelló Beer Factory Malaspina Brown Ale,Brown Ale,5.5,22.0,,"Malaspina Brown Ale
Brown Ale
Cerveza tostada elaborada de manera artesanal a partir de una selección de maltas de cebada, dando como resultado una cerveza de color cobrizo oscuro, con un sabor suave y un amargor equilibrado, presentando un intenso aroma tostado con notas de lúpulo y una espu ..."
9,Castelló Beer Factory / Althaia Fifth Element,Imperial IPA,7.0,,4.2,"Fifth Element
Quintuple Dry Hopped Doble IPA Cerveza extra producida en casa CBF con la colaboración de Althaia. x5 Dry Hopping con 5 de los lúpulos más potentes del mercado añadidos en 5 adiciones diferentes durante la fermentación: Mosaic, Citra, Nelson Sauvin, Simcoe y Amarillo. Una sop ..."
10,Drunken Bros / De Molen Kthulhu,Imperial Stout,11.0,,4.18,"Kthulhu
Imperial Hazelnut Stout
Colaboración con los grandes Brouwerij de Molen. Kthulhu es la primera de nuestra nueva serie de cervezas Nightmare Series.
Ilustracion de Antonio Bravo"
11,Gross Zero IBU IPA,American IPA,5.8,,,Zero IBU IPA
12,Gross Nork,Pilsner,5.0,,3.91,"Nork
West Coast Pilsner"
13,Gross Nori,India Pale Ale,5.8,,3.85,"Nori
IPA"
14,"Buckler 0,0",Sin Alcohol,0.0,,2.11,"Buckler 0,0
Buckler 0,0 es una cerveza 0,0 100% malta: el 100% de su cereal es cebada malteada. Además, contiene otros ingredientes naturales como el agua y el lúpulo. Todo ello le confiere a Buckler 0,0 un carácter cervecero, un sabor a cereales, un cuerpo equilibrado y un color dorado cara ..."
15,Mala Gissona / Drunken Bros Valkiria,Barleywine,10.7,39.0,3.92,"Valkiria
Sherry Barley Wine de 10,7% elaborada en colaboración con @drunkenbrosbrewery
Color castaño oscuro. Aromas maltosos complejos, caramelos, frutas maceradas con notas a tabaco y maderas nobles. Cálida y potente en boca, cuerpo pleno y masticable y persistente."
16,Garage Beer Co / Soma Five,Session IPA,4.4,,,"Five
Session IPA con nuestros amigos de @somabeer. FIVE : elaborada con lúpulos falconers flight, simcoe, amarillo, citra & cascade."
17,Gora Original Black President,Imperial Stout,10.0,,,"Original Black President
Imperian Stout
Garagardoa / Cerveza / Beer
Osagaiak: ura, garagar eta zekale maltak, olo-malutak, lupulua eta legamia.
Ingredientes: agua, malta de cebada y centeno, copos de avena, |upulo y levadura.
Ingredients: water, barley and rye malt, flacked oat, hops, yeast
Glu ..."
18,Naparbier / Finback Out of Mind,Imperial Stout,11.0,,,"Out of Mind
Imperial Stout con Coco
Enorme Imp. Stout para ti. Elaborada con la gente maravillosa de @finbackbrewery. A ellos les encantan las stouts, igual que a nosotros! También nos encanta el coco ! Oscura, densa y con Toneladas de coco que te llevarán ... .
Out of Mind: Imp Stout con coc ..."
19,La Pirata / Barrier Queen Of Long Island,American IPA,5.7,65.0,,"Queen Of Long Island
IPA
La Pirata Collab.
«New York – Súria conection!
Esta es la segunda colaboración que hacemos con una cervecera de Nueva York. En esta ocasión con los chicos
de Long Island «BARRIER BREWERY» Una cervecera arrasada por el huracán Sandy en 2010 y reconstruida con la ..."
20,Majara I Love Low,Mild,2.3,22.0,,"I Love Low
Mild Ale
I ♥ Low es una cerveza de estilo MILD ALE de bajo contenido en alcohol (2.3% v/v) caracterizada por su color tostado y sabor predominantemente a cereal y cacao con un ligero toque ahumado. Es un estilo originario de Gran Bretaña y se ha complementado con lúpulos aromát ..."
21,Majara / Musa Low Me Tender,Session IPA,2.5,22.0,3.26,"Low Me Tender
Session Pale Ale
Low Me Tender es una colaboración con nuestros amigos de CERVEJA MUSA, sin duda los mejores compañeros posibles para iniciar esta aventura. Una cerveza de estilo Session Pale Ale de 2,5 % vol con mucho lúpulo aromático y una suavidad asombrosa que te incitará ..."
22,Gaitanejo Turón,American IPA,6.4,55.0,3.63,"Turón
IPA de color ámbar claro, amargor medio-alto, aroma a cítricos, limón y mango."
23,Gaitanejo Amanecer,Belgian Dubbel,7.2,,,"Amanecer
Belgian Dubble
Receta original de Antonio Martín, uno de los fundadores de la Asociacion de Cerveceros Caseros Españoles y primer maestro cervecero de la artesana malagueña."
24,Edge Brewing Trad Jazz Returns,Extra-Strong Bitter,6.3,,3.11,"Trad Jazz Returns
Trad Jazz Revisited es una versión actualizada de la colaboración entre Edge Brewing y Fuller’s. Se trata de un ESB con aromas malteados y amaderados, con notas de bayas y pan. El sabor es agridulce con notas frutales y muchas maltas."
25,La Calavera Shake The Streets,Cream Ale,7.5,,3.75,"Shake The Streets
Imperial Milkshake Cream Ale amb maduixes, vainilla i coco.
---------------
Imperial Milkshake Cream Ale con Lactosa, Fresas, Coco y Vainilla."
26,Naparbier / Proof Zombified!,Imperial Stout,12.5,,,"Zombified!
Imperial Stout
Trabajamos una receta con unos maestros del estilo, nuestros amigos de Tallahassee, FL @proofbrewingco
Zombified: IMP Stout (12.5%) .
No hay extras aquí. ¡Pero una cerveza densa y sabrosa para calentar tu corazón oscuro!_________________________
We worked a recipe w ..."
27,Tibidabo Brewing Tropical Party,New England IPA,6.5,15.0,3.84,"Tropical Party
NEIPA
Han llegado los cuatro grandes lúpulos: Citra, Ekuanot, Mosaic y Amarillo para darnos el gustazo en un jugo de cerveza sin nada de amargos. Refrescantes gustos a todo tipo de frutas con una sensación placentera suave y cremosa en boca."
28,Guineu / Zapap Spontanea I,Sour Ale,6.5,10.0,3.58,Spontanea I
29,El Pedal Export Stout,Foreign Extra Stout,6.0,,,Export Stout
30,Guineu Imperial Brown,Barleywine,12.0,,,"Imperial Brown
Imperial Brown Ale
Batea Red Wine Barrel Aged
 "
31,Basqueland Circular Fiction,American IPA,6.5,30.0,3.92,"Circular Fiction
Fruit IPA
Con Melocotón, Fruta de la Pasión y Lactosa. Dry Hopping de lúpulos Mosaic, AU 035, Loral y Ella."
32,Edge Brewing Frequency,Golden Ale,5.0,,,"Frequency
Hoppy Golden Ale"
33,Garage Beer Co Scripted Spiel Wipa,American IPA,5.5,,3.88,"Scripted Spiel Wipa
West Coast IPA, 5,5% ABV elaborado con lúpulos Simcoe, Amarillo, Ekuanot y Columbus"
34,El Pájaro Amarillo Pale Ale,Pale Ale,5.7,25.0,3.18,"Pale Ale
Natural Pale Ale"
35,El Pájaro Amarillo Lager,Lager,4.5,35.0,2.94,"Lager
Natural Lager"
36,Naparbier / Sand City Almost 10,Imperial IPA,9.7,,4.31,"Almost 10
TIPA"
